Business_Date,Day_of_Week,Day_Type,Mode,Train_Number,Line_Name,Group,Direction,Origin_Station,Destination_Station,Station_Name,Station_Latitude,Station_Longitude,Station_Chainage,Stop_Sequence_Number,Arrival_Time_Scheduled,Departure_Time_Scheduled,Passenger_Boardings,Passenger_Alightings,Passenger_Arrival_Load,Passenger_Departure_Load
2023-07-10,Monday,Normal Weekday,Metro,6001,Sunbury,Northern,D,Flinders Street,Sunbury,Sunbury,-37.57909097,144.7273188,38279,15,05:48:00,05:48:00,0,0,0,0
2023-07-10,Monday,Normal Weekday,Metro,6003,Sunbury,Northern,D,Flinders Street,Sunbury,Sunbury,-37.57909097,144.7273188,38279,15,06:08:00,06:08:00,0,0,0,0
2023-07-10,Monday,Normal Weekday,Metro,6005,Sunbury,Northern,D,Flinders Street,Sunbury,Sunbury,-37.57909097,144.7273188,38279,15,06:28:00,06:28:00,0,10,10,0
2023-07-10,Monday,Normal Weekday,Metro,6007,Sunbury,Northern,D,Flinders Street,Sunbury,Sunbury,-37.57909097,144.7273188,38279,15,06:48:00,06:48:00,0,10,10,0
2023-07-10,Monday,Normal Weekday,Metro,6009,Sunbury,Northern,D,Flinders Street,Sunbury,Sunbury,-37.57909097,144.7273188,38279,15,07:07:00,07:07:00,0,10,10,0
2023-07-10,Monday,Normal Weekday,Metro,6011,Sunbury,Northern,D,Flinders Street,Sunbury,Sunbury,-37.57909097,144.7273188,38279,15,07:25:00,07:25:00,0,10,10,0
2023-07-10,Monday,Normal Weekday,Metro,6013,Sunbury,Northern,D,Flinders Street,Sunbury,Sunbury,-37.57909097,144.7273188,38279,15,07:45:00,07:45:00,0,10,10,0
2023-07-10,Monday,Normal Weekday,Metro,6015,Sunbury,Northern,D,Flinders Street,Sunbury,Sunbury,-37.57909097,144.7273188,38279,15,07:56:00,07:56:00,0,10,10,0
2023-07-10,Monday,Normal Weekday,Metro,6017,Sunbury,Northern,D,Flinders Street,Sunbury,Sunbury,-37.57909097,144.7273188,38279,15,08:13:00,08:13:00,0,20,20,0
2023-07-10,Monday,Normal Weekday,Metro,6019,Sunbury,Northern,D,Flinders Street,Sunbury,Sunbury,-37.57909097,144.7273188,38279,15,08:27:00,08:27:00,0,10,10,0
