line_slug,Line_Name,citybound_from_station,citybound_to_station,segment_km,citybound_avg_run_minutes,outbound_avg_run_minutes,citybound_avg_scheduled_kmh,outbound_avg_scheduled_kmh,paired_avg_run_minutes,paired_avg_scheduled_kmh,minute_gap,kmh_gap,citybound_observed_segments,outbound_observed_segments,confidence_band
alamein,Alamein,Richmond,Flinders Street,2.565,4.32,2.71,36.7,57.5,3.51,43.8,1.61,20.8,4230,5933,low
alamein,Alamein,Hartwell,Willison,1.152,1.27,1.67,66.3,41.5,1.47,47.1,0.4,24.8,20011,21088,low
alamein,Alamein,Burwood,Hartwell,0.867,1.67,1.07,31.2,59.1,1.37,38.0,0.59,27.8,20011,21087,low
alamein,Alamein,Alamein,Ashburton,0.729,0.67,1.94,65.6,23.8,1.31,33.5,1.28,41.8,19990,21059,low
belgrave,Belgrave,Glenferrie,Richmond,4.323,5.74,4.25,45.3,62.4,5.0,51.9,1.49,17.2,4629,5732,low
belgrave,Belgrave,Union,Camberwell,3.946,7.67,4.21,30.9,57.1,5.94,39.9,3.45,26.2,1,438,low
belgrave,Belgrave,Bayswater,Heathmont,2.719,3.76,2.67,44.5,61.2,3.21,50.8,1.09,16.7,15457,15972,low
belgrave,Belgrave,Richmond,Flinders Street,2.565,4.33,2.96,36.8,55.7,3.65,42.2,1.37,18.9,9168,4941,low
belgrave,Belgrave,Ferntree Gully,Boronia,2.513,1.67,2.88,90.5,54.4,2.28,66.3,1.22,36.1,17369,17880,low
belgrave,Belgrave,Box Hill,Union,2.012,2.55,3.67,48.3,32.9,3.11,38.8,1.12,15.4,9530,9070,low
belgrave,Belgrave,Heatherdale,Mitcham,1.928,1.67,2.67,69.4,43.4,2.17,53.4,1.0,26.0,14259,14177,low
belgrave,Belgrave,Mitcham,Nunawading,1.672,2.38,1.67,44.0,60.2,2.03,49.5,0.72,16.2,14258,14177,low
