line_slug,Line_Name,citybound_from_station,citybound_to_station,segment_km,citybound_avg_run_minutes,outbound_avg_run_minutes,citybound_avg_scheduled_kmh,outbound_avg_scheduled_kmh,paired_avg_run_minutes,paired_avg_scheduled_kmh,minute_gap,kmh_gap,citybound_observed_segments,outbound_observed_segments,confidence_band
belgrave,Belgrave,Box Hill,Richmond,12.366,12.73,12.67,58.3,58.6,12.7,58.4,0.06,0.3,666,204,high
belgrave,Belgrave,Union,Richmond,10.354,11.86,9.92,52.5,62.7,10.89,57.1,1.94,10.2,1068,203,medium
belgrave,Belgrave,Camberwell,Richmond,6.408,7.97,7.36,48.6,53.1,7.67,50.1,0.61,4.5,1927,2390,medium
belgrave,Belgrave,Box Hill,Camberwell,5.958,6.31,7.3,57.6,49.7,6.81,52.5,0.99,8.0,4862,6039,medium
belgrave,Belgrave,Glenferrie,Richmond,4.323,5.74,4.25,45.3,62.4,5.0,51.9,1.49,17.2,4629,5732,low
belgrave,Belgrave,Union,Camberwell,3.946,7.67,4.21,30.9,57.1,5.94,39.9,3.45,26.2,1,438,low
belgrave,Belgrave,Bayswater,Heathmont,2.719,3.76,2.67,44.5,61.2,3.21,50.8,1.09,16.7,15457,15972,low
belgrave,Belgrave,Richmond,Flinders Street,2.565,4.33,2.96,36.8,55.7,3.65,42.2,1.37,18.9,9168,4941,low
belgrave,Belgrave,Boronia,Bayswater,2.537,2.7,2.67,56.4,57.1,2.69,56.7,0.04,0.7,17368,18078,high
belgrave,Belgrave,Upwey,Upper Ferntree Gully,2.516,3.7,3.41,40.9,45.0,3.55,42.5,0.28,4.1,16808,17317,high
belgrave,Belgrave,Ferntree Gully,Boronia,2.513,1.67,2.88,90.5,54.4,2.28,66.3,1.22,36.1,17369,17880,low
belgrave,Belgrave,Blackburn,Box Hill,2.511,3.68,3.68,41.0,41.0,3.68,40.9,0.01,0.0,3363,1866,high
belgrave,Belgrave,Heathmont,Ringwood,2.367,2.84,2.67,50.6,53.3,2.75,51.6,0.18,2.7,15457,15973,high
belgrave,Belgrave,Nunawading,Blackburn,2.126,2.67,2.67,47.8,47.8,2.67,47.8,0.0,0.1,14258,14177,high
belgrave,Belgrave,Camberwell,Glenferrie,2.085,2.74,3.67,46.0,34.1,3.2,39.1,0.93,11.9,4648,5754,medium
belgrave,Belgrave,Box Hill,Union,2.012,2.55,3.67,48.3,32.9,3.11,38.8,1.12,15.4,9530,9070,low
belgrave,Belgrave,Heatherdale,Mitcham,1.928,1.67,2.67,69.4,43.4,2.17,53.4,1.0,26.0,14259,14177,low
belgrave,Belgrave,Upper Ferntree Gully,Ferntree Gully,1.771,2.67,3.48,39.8,31.1,3.08,34.6,0.82,8.7,17370,17879,medium
belgrave,Belgrave,Mitcham,Nunawading,1.672,2.38,1.67,44.0,60.2,2.03,49.5,0.72,16.2,14258,14177,low
belgrave,Belgrave,Laburnum,Box Hill,1.652,2.67,1.98,37.2,52.4,2.32,42.6,0.69,15.3,11655,13406,low
belgrave,Belgrave,Hawthorn,Burnley,1.554,2.34,1.67,42.2,55.9,2.01,46.5,0.68,13.8,6576,6595,medium
belgrave,Belgrave,Burnley,Richmond,1.535,2.67,2.67,34.5,34.5,2.67,34.5,0.0,0.0,5819,6071,high
belgrave,Belgrave,Ringwood,Heatherdale,1.356,1.91,2.54,44.3,33.8,2.22,36.6,0.62,10.5,14259,14176,medium
belgrave,Belgrave,Belgrave,Tecoma,1.352,1.67,3.0,48.7,27.0,2.33,34.8,1.33,21.6,16807,17316,low
belgrave,Belgrave,Camberwell,Auburn,1.245,1.67,2.16,44.8,36.6,1.91,39.1,0.49,8.2,6576,6595,medium
belgrave,Belgrave,Glenferrie,Hawthorn,1.234,1.67,1.67,44.4,44.4,1.67,44.4,0.0,0.0,6576,6595,high
belgrave,Belgrave,Southern Cross,Flinders Street,1.232,4.52,2.67,16.6,27.7,3.59,20.6,1.85,11.1,5392,9864,medium
belgrave,Belgrave,Union,Chatham,1.204,2.18,1.67,35.0,43.3,1.92,37.6,0.51,8.3,8456,8428,medium
belgrave,Belgrave,Flagstaff,Southern Cross,1.17,1.67,1.67,42.1,42.1,1.67,42.1,0.0,0.0,5392,9862,high
belgrave,Belgrave,Tecoma,Upwey,1.162,1.67,1.99,41.8,36.8,1.83,38.2,0.32,5.0,16807,17317,high
belgrave,Belgrave,Parliament,Melbourne Central,1.127,1.67,2.0,40.6,35.4,1.84,36.8,0.34,5.1,5392,9862,medium
