line_slug,Line_Name,citybound_from_station,citybound_to_station,segment_km,citybound_avg_run_minutes,outbound_avg_run_minutes,citybound_avg_scheduled_kmh,outbound_avg_scheduled_kmh,paired_avg_run_minutes,paired_avg_scheduled_kmh,minute_gap,kmh_gap,citybound_observed_segments,outbound_observed_segments,confidence_band
craigieburn,Craigieburn,Craigieburn,North Melbourne,24.418,23.67,23.33,62.0,62.8,23.5,62.3,0.33,0.8,3,2,high
craigieburn,Craigieburn,Broadmeadows,North Melbourne,15.12,15.0,19.86,60.5,48.0,17.43,52.1,4.86,12.5,6,7,low
craigieburn,Craigieburn,Essendon,North Melbourne,6.327,8.67,7.67,43.8,49.5,8.17,46.5,1.0,5.7,9,735,medium
craigieburn,Craigieburn,Moonee Ponds,North Melbourne,5.207,6.67,7.0,46.9,44.6,6.83,45.7,0.33,2.2,7,9,high
craigieburn,Craigieburn,Craigieburn,Roxburgh Park,4.098,2.67,5.04,92.2,48.9,3.85,63.8,2.37,43.3,25209,26427,low
craigieburn,Craigieburn,Roxburgh Park,Coolaroo,2.692,2.72,3.67,60.6,44.0,3.2,50.5,0.94,16.5,25201,26453,low
craigieburn,Craigieburn,Coolaroo,Broadmeadows,2.508,3.67,1.68,41.0,90.0,2.67,56.3,1.99,48.9,25195,26454,low
craigieburn,Craigieburn,Kensington,North Melbourne,1.895,3.93,2.67,29.3,42.6,3.3,34.4,1.27,13.4,26215,26594,medium
craigieburn,Craigieburn,Parliament,Flinders Street,1.749,3.02,2.36,34.8,46.5,2.69,39.0,0.65,11.7,14912,10737,medium
craigieburn,Craigieburn,North Melbourne,Southern Cross,1.68,3.49,2.85,29.4,35.8,3.17,31.8,0.64,6.4,10479,15976,medium
craigieburn,Craigieburn,Oak Park,Pascoe Vale,1.604,1.67,2.67,57.7,36.1,2.17,44.4,1.0,21.7,26321,27394,low
craigieburn,Craigieburn,Glenroy,Oak Park,1.525,2.67,1.67,34.3,54.9,2.17,42.2,1.0,20.6,26322,27393,low
craigieburn,Craigieburn,Ascot Vale,Newmarket,1.51,1.67,1.87,54.4,50.1,1.77,51.2,0.21,4.2,26218,26586,high
craigieburn,Craigieburn,Pascoe Vale,Strathmore,1.481,1.67,1.87,53.3,49.3,1.77,50.3,0.2,4.0,26319,27395,high
craigieburn,Craigieburn,Broadmeadows,Jacana,1.37,1.67,2.69,49.3,30.6,2.18,37.8,1.02,18.7,26324,27390,low
craigieburn,Craigieburn,Southern Cross,Flinders Street,1.232,4.18,3.51,17.8,21.3,3.85,19.2,0.67,3.5,11434,15749,medium
craigieburn,Craigieburn,Melbourne Central,Parliament,1.127,1.67,1.67,40.6,40.6,1.67,40.6,0.0,0.0,14916,10735,high
craigieburn,Craigieburn,Glenbervie,Essendon,1.123,2.67,1.67,25.3,40.4,2.17,31.1,1.0,15.2,26313,27397,low
craigieburn,Craigieburn,Essendon,Moonee Ponds,1.12,1.67,1.67,40.3,40.3,1.67,40.3,0.0,0.0,26226,26589,high
craigieburn,Craigieburn,Moonee Ponds,Ascot Vale,1.076,1.67,1.67,38.7,38.7,1.67,38.7,0.0,0.0,26219,26580,high
craigieburn,Craigieburn,Jacana,Glenroy,1.03,0.67,1.67,92.7,37.1,1.17,53.0,1.0,55.6,26324,27390,low
craigieburn,Craigieburn,Newmarket,Kensington,0.726,0.67,0.67,65.3,65.3,0.67,65.3,0.0,0.0,26216,26588,high
craigieburn,Craigieburn,Flagstaff,Melbourne Central,0.684,1.67,1.67,24.6,24.6,1.67,24.6,0.0,0.0,14918,10734,high
craigieburn,Craigieburn,Strathmore,Glenbervie,0.66,0.67,0.67,59.1,59.4,0.67,59.1,0.01,0.3,26315,27395,high
craigieburn,Craigieburn,North Melbourne,Flagstaff,0.51,2.5,2.67,12.6,11.5,2.58,11.9,0.17,1.2,14921,10734,high
craigieburn,Craigieburn,North Melbourne,Flinders Street,0.448,7.14,6.09,3.8,4.5,6.61,4.1,1.05,0.7,1045,882,medium
