line_slug,Line_Name,citybound_from_station,citybound_to_station,segment_km,citybound_avg_run_minutes,outbound_avg_run_minutes,citybound_avg_scheduled_kmh,outbound_avg_scheduled_kmh,paired_avg_run_minutes,paired_avg_scheduled_kmh,minute_gap,kmh_gap,citybound_observed_segments,outbound_observed_segments,confidence_band
cranbourne,Cranbourne,Lynbrook,Dandenong,8.304,7.74,6.67,64.4,74.7,7.2,69.2,1.07,10.3,21774,22269,medium
cranbourne,Cranbourne,Caulfield,South Yarra,6.373,7.42,7.52,51.8,51.1,7.47,51.2,0.1,0.7,10854,10224,high
cranbourne,Cranbourne,Malvern,South Yarra,4.692,4.67,5.67,60.3,49.7,5.17,54.5,1.0,10.6,6028,6378,medium
cranbourne,Cranbourne,Merinda Park,Lynbrook,2.852,2.67,2.67,64.2,64.2,2.67,64.2,0.0,0.0,21775,22265,high
cranbourne,Cranbourne,Cranbourne,Merinda Park,2.772,2.67,4.01,62.4,41.5,3.34,49.8,1.34,20.8,21776,22265,low
cranbourne,Cranbourne,Richmond,Flinders Street,2.565,8.43,3.48,25.3,45.0,5.95,25.9,4.95,19.7,625,16610,low
cranbourne,Cranbourne,Clayton,Huntingdale,2.229,2.67,2.9,50.2,47.0,2.78,48.1,0.23,3.1,17451,16872,high
cranbourne,Cranbourne,Dandenong,Yarraman,2.155,2.67,3.51,48.5,37.4,3.09,41.9,0.84,11.1,17666,17291,medium
cranbourne,Cranbourne,Westall,Clayton,2.126,1.67,2.67,76.5,47.8,2.17,58.8,1.0,28.8,17451,17116,low
cranbourne,Cranbourne,Springvale,Westall,1.858,2.67,1.67,41.7,66.9,2.17,51.4,1.01,25.2,17661,17293,low
cranbourne,Cranbourne,Carnegie,Caulfield,1.747,2.9,1.67,36.8,62.9,2.28,45.9,1.23,26.1,17078,16518,low
cranbourne,Cranbourne,Huntingdale,Oakleigh,1.697,2.05,1.67,52.2,61.1,1.86,54.8,0.38,8.9,17449,16873,medium
cranbourne,Cranbourne,Noble Park,Sandown Park,1.693,1.46,2.67,79.8,38.1,2.06,49.2,1.21,41.7,17664,17293,low
cranbourne,Cranbourne,Caulfield,Malvern,1.681,2.67,2.67,37.8,37.8,2.67,37.8,0.0,0.0,6028,6376,high
cranbourne,Cranbourne,Yarraman,Noble Park,1.663,2.66,1.67,37.6,59.9,2.16,46.1,0.99,22.3,17667,17291,low
cranbourne,Cranbourne,South Yarra,Richmond,1.616,2.67,2.67,36.4,36.4,2.67,36.4,0.0,0.0,16880,16606,high
cranbourne,Cranbourne,Sandown Park,Springvale,1.187,1.67,1.67,42.7,42.7,1.67,42.7,0.0,0.0,17664,17293,high
cranbourne,Cranbourne,Oakleigh,Hughesdale,1.111,1.67,1.67,40.0,40.0,1.67,40.0,0.0,0.0,17079,16514,high
cranbourne,Cranbourne,Hughesdale,Murrumbeena,1.053,1.67,1.67,37.9,37.9,1.67,37.9,0.0,0.0,17079,16515,high
cranbourne,Cranbourne,Murrumbeena,Carnegie,0.889,1.67,1.67,32.0,32.0,1.67,32.0,0.0,0.0,17079,16515,high
