line_slug,Line_Name,citybound_from_station,citybound_to_station,segment_km,citybound_avg_run_minutes,outbound_avg_run_minutes,citybound_avg_scheduled_kmh,outbound_avg_scheduled_kmh,paired_avg_run_minutes,paired_avg_scheduled_kmh,minute_gap,kmh_gap,citybound_observed_segments,outbound_observed_segments,confidence_band
eastern,Eastern,Bairnsdale,Stratford,52.653,37.71,40.74,83.8,77.6,39.23,80.5,3.03,6.2,739,739,low
eastern,Eastern,Garfield,Dandenong,44.657,34.6,32.22,77.6,83.2,33.41,80.2,2.38,5.6,189,195,low
eastern,Eastern,Moe,Warragul,30.314,17.19,18.17,107.2,101.7,17.68,102.9,0.98,5.5,849,672,medium
eastern,Eastern,Pakenham,Dandenong,26.999,19.0,20.97,86.1,77.9,19.99,81.1,1.98,8.1,4148,4101,medium
eastern,Eastern,Sale,Rosedale,25.694,18.64,19.05,82.8,80.9,18.84,81.8,0.42,1.9,777,777,high
eastern,Eastern,Rosedale,Traralgon,22.34,17.67,16.38,75.9,81.9,17.03,78.7,1.3,6.0,777,777,medium
eastern,Eastern,Dandenong,Caulfield,19.408,25.29,24.49,46.3,48.1,24.89,46.8,0.81,1.8,441,515,medium
eastern,Eastern,Garfield,Pakenham,17.658,15.25,10.9,71.3,98.2,13.08,81.0,4.35,26.9,658,475,low
eastern,Eastern,Drouin,Garfield,17.255,11.47,16.83,91.3,64.9,14.15,73.2,5.36,26.4,849,477,low
eastern,Eastern,Stratford,Sale,16.094,15.38,13.35,62.8,72.4,14.37,67.2,2.03,9.6,739,739,low
eastern,Eastern,Morwell,Moe,14.648,10.97,12.55,82.8,73.2,11.76,74.7,1.58,9.7,4900,4931,medium
eastern,Eastern,Pakenham,Berwick,13.617,9.0,10.0,90.8,81.7,9.5,86.0,1.0,9.1,189,195,medium
eastern,Eastern,Traralgon,Morwell,13.617,8.41,11.31,97.9,73.8,9.86,82.9,2.9,24.1,4900,4931,low
eastern,Eastern,Berwick,Dandenong,13.382,10.0,10.0,80.3,80.3,10.0,80.3,0.0,0.0,189,195,high
eastern,Eastern,Yarragon,Warragul,12.325,8.28,8.06,89.8,92.4,8.17,90.6,0.22,2.6,4051,4254,high
eastern,Eastern,Dandenong,Clayton,10.682,12.41,14.44,52.3,45.3,13.43,47.7,2.03,7.0,4085,3976,low
eastern,Eastern,Moe,Trafalgar,9.915,6.14,8.07,99.0,79.1,7.11,83.7,1.93,19.8,4051,4259,low
eastern,Eastern,Clayton,Caulfield,8.726,14.27,11.4,37.1,47.0,12.83,40.8,2.87,10.0,4085,3976,low
eastern,Eastern,Drouin,Longwarry,8.724,6.49,6.82,81.3,77.8,6.66,78.6,0.33,3.5,4051,4454,high
eastern,Eastern,Nar Nar Goon,Pakenham,8.589,9.69,5.1,54.7,101.5,7.39,69.7,4.59,46.8,4026,4229,low
eastern,Eastern,Trafalgar,Yarragon,8.074,6.06,5.72,80.1,85.7,5.89,82.2,0.34,5.6,4051,4259,medium
eastern,Eastern,Caulfield,Richmond,7.989,9.84,9.46,48.8,51.1,9.65,49.7,0.38,2.2,4526,3142,high
eastern,Eastern,Warragul,Drouin,7.623,6.07,6.31,75.4,73.1,6.19,73.9,0.24,2.3,4900,4926,high
eastern,Eastern,Tynong,Nar Nar Goon,4.967,4.12,4.09,72.8,73.4,4.11,72.6,0.04,0.6,3856,4253,high
eastern,Eastern,Longwarry,Bunyip,4.338,4.08,3.68,64.7,73.4,3.88,67.1,0.4,8.7,4051,4454,medium
eastern,Eastern,Bunyip,Garfield,4.193,3.47,4.98,75.3,52.4,4.22,59.6,1.51,22.8,4051,4454,low
eastern,Eastern,Garfield,Tynong,4.102,4.09,4.15,60.6,60.0,4.12,59.8,0.06,0.6,3856,4259,high
eastern,Eastern,Richmond,Flinders Street,2.565,4.98,4.0,31.1,38.5,4.49,34.3,0.98,7.4,4526,3142,medium
eastern,Eastern,Flinders Street,Southern Cross,1.232,4.03,4.0,18.4,18.5,4.01,18.4,0.02,0.1,4337,4302,high
