line_slug,Line_Name,citybound_from_station,citybound_to_station,segment_km,citybound_avg_run_minutes,outbound_avg_run_minutes,citybound_avg_scheduled_kmh,outbound_avg_scheduled_kmh,paired_avg_run_minutes,paired_avg_scheduled_kmh,minute_gap,kmh_gap,citybound_observed_segments,outbound_observed_segments,confidence_band
frankston,Frankston,Mordialloc,Richmond,23.897,36.0,33.0,39.8,43.4,34.5,41.6,3.0,3.6,1,1,low
frankston,Frankston,Cheltenham,Caulfield,10.64,11.83,12.73,54.1,50.2,12.28,52.0,0.89,4.0,2689,3271,medium
frankston,Frankston,Moorabbin,Caulfield,6.66,8.33,12.67,48.5,31.5,10.5,38.1,4.33,17.0,12,1,low
frankston,Frankston,Caulfield,South Yarra,6.373,6.77,7.67,56.6,49.9,7.22,52.9,0.9,6.7,19,3295,medium
frankston,Frankston,Mordialloc,Mentone,3.335,3.83,4.73,52.7,42.8,4.28,46.7,0.9,9.9,22460,24858,medium
frankston,Frankston,Seaford,Carrum,3.258,3.67,2.67,53.3,73.3,3.17,61.7,1.0,20.0,32457,35760,low
frankston,Frankston,Aspendale,Mordialloc,2.619,3.68,2.67,42.7,58.9,3.17,49.5,1.01,16.2,34596,37337,low
frankston,Frankston,Richmond,Flinders Street,2.565,4.46,3.5,35.0,44.8,3.98,38.7,0.96,9.8,35176,39406,medium
frankston,Frankston,Frankston,Kananook,2.483,2.67,4.05,55.9,36.9,3.36,44.4,1.38,18.9,32436,35715,low
frankston,Frankston,Kananook,Seaford,2.086,1.67,2.67,75.1,46.9,2.17,57.8,1.0,28.2,32448,35756,low
frankston,Frankston,Mentone,Cheltenham,1.933,2.67,2.67,43.5,43.5,2.67,43.5,0.0,0.0,33378,36969,high
frankston,Frankston,Mordialloc,Parkdale,1.764,1.67,2.67,63.5,39.6,2.17,48.8,1.01,23.9,10921,12110,low
frankston,Frankston,Chelsea,Edithvale,1.701,1.67,1.67,61.2,61.2,1.67,61.2,0.0,0.0,34600,37335,high
frankston,Frankston,Caulfield,Malvern,1.681,2.67,2.7,37.8,37.5,2.68,37.6,0.03,0.3,35170,36095,high
frankston,Frankston,Glenhuntly,Caulfield,1.673,3.71,2.67,27.4,37.6,3.19,31.5,1.05,10.3,31662,35309,medium
frankston,Frankston,Highett,Moorabbin,1.618,1.7,2.45,57.4,41.1,2.07,46.8,0.75,16.3,33477,37179,low
frankston,Frankston,South Yarra,Richmond,1.616,2.67,2.67,36.4,36.4,2.67,36.4,0.0,0.0,35180,39399,high
frankston,Frankston,Parkdale,Mentone,1.571,1.81,1.67,53.4,56.6,1.74,54.1,0.15,3.1,10920,12110,high
frankston,Frankston,Ormond,Glenhuntly,1.564,1.67,1.67,56.3,56.3,1.67,56.3,0.0,0.0,31664,35305,high
frankston,Frankston,Carrum,Bonbeach,1.484,1.67,2.85,53.4,31.8,2.26,39.4,1.18,21.7,34606,37334,low
frankston,Frankston,Malvern,Armadale,1.44,1.67,2.67,51.8,32.4,2.17,39.9,1.0,19.4,32461,36095,low
frankston,Frankston,Edithvale,Aspendale,1.353,1.67,1.67,48.7,48.7,1.67,48.7,0.0,0.0,34598,37335,high
frankston,Frankston,Toorak,Hawksburn,1.275,1.67,1.67,45.9,45.9,1.67,45.9,0.0,0.0,32458,36097,high
frankston,Frankston,Bonbeach,Chelsea,1.246,1.67,1.67,44.9,44.8,1.67,44.8,0.0,0.0,34602,37333,high
frankston,Frankston,Southland,Highett,1.237,1.67,1.67,44.5,44.5,1.67,44.5,0.0,0.0,33480,37178,high
frankston,Frankston,Hawksburn,South Yarra,1.22,1.78,1.67,42.1,43.9,1.72,42.5,0.11,1.8,32457,36102,high
frankston,Frankston,Cheltenham,Southland,1.125,1.67,0.7,40.5,98.1,1.18,57.1,0.97,57.6,33481,37176,low
frankston,Frankston,Moorabbin,Patterson,1.061,1.66,1.77,38.6,36.6,1.72,37.1,0.11,2.0,31664,35303,high
frankston,Frankston,Patterson,Bentleigh,0.913,1.46,1.3,43.1,50.9,1.38,39.7,0.16,7.8,31664,35304,medium
frankston,Frankston,Mckinnon,Ormond,0.818,1.67,1.76,29.4,28.4,1.71,28.6,0.09,1.0,31664,35305,high
frankston,Frankston,Armadale,Toorak,0.757,1.67,0.67,27.3,68.1,1.17,38.9,1.0,40.9,32461,36096,low
frankston,Frankston,Bentleigh,Mckinnon,0.631,0.97,1.67,46.4,22.7,1.32,28.7,0.7,23.7,31664,35305,low
