line_slug,Line_Name,citybound_from_station,citybound_to_station,segment_km,citybound_avg_run_minutes,outbound_avg_run_minutes,citybound_avg_scheduled_kmh,outbound_avg_scheduled_kmh,paired_avg_run_minutes,paired_avg_scheduled_kmh,minute_gap,kmh_gap,citybound_observed_segments,outbound_observed_segments,confidence_band
lilydale,Lilydale,Box Hill,Richmond,12.366,12.67,12.67,58.6,58.6,12.67,58.6,0.0,0.0,436,226,high
lilydale,Lilydale,Union,Richmond,10.354,11.95,10.03,52.1,62.6,10.99,56.5,1.92,10.5,1098,475,medium
lilydale,Lilydale,Mooroolbark,Ringwood East,6.613,7.67,8.4,51.8,47.4,8.03,49.4,0.73,4.3,5527,5618,medium
lilydale,Lilydale,Camberwell,Richmond,6.408,7.73,7.79,49.9,50.2,7.76,49.6,0.06,0.3,1171,1942,high
lilydale,Lilydale,Box Hill,Camberwell,5.958,6.15,7.75,58.8,47.1,6.95,51.4,1.6,11.7,5582,6679,medium
lilydale,Lilydale,Lilydale,Mooroolbark,4.693,4.67,6.0,60.3,46.9,5.34,52.8,1.34,13.4,15391,15682,medium
lilydale,Lilydale,Glenferrie,Richmond,4.323,5.76,4.22,45.1,63.1,4.99,52.0,1.54,18.0,6451,7514,low
lilydale,Lilydale,Union,Camberwell,3.946,4.84,4.19,49.6,58.0,4.51,52.5,0.65,8.3,247,1891,medium
lilydale,Lilydale,Mooroolbark,Croydon,3.344,3.67,4.42,54.7,46.1,4.04,49.6,0.75,8.7,10522,10669,medium
lilydale,Lilydale,Croydon,Ringwood East,3.269,3.67,3.67,53.5,53.5,3.67,53.4,0.0,0.0,10521,10669,high
lilydale,Lilydale,Richmond,Flinders Street,2.565,4.2,2.77,37.5,57.1,3.49,44.1,1.43,19.6,15100,15999,low
lilydale,Lilydale,Blackburn,Box Hill,2.511,3.69,3.57,40.9,42.4,3.63,41.5,0.12,1.5,3702,1624,high
lilydale,Lilydale,Nunawading,Blackburn,2.126,2.67,2.67,47.8,47.8,2.67,47.8,0.0,0.0,18378,18246,high
lilydale,Lilydale,Camberwell,Glenferrie,2.085,2.69,3.67,46.6,34.1,3.18,39.4,0.98,12.5,6476,7541,medium
lilydale,Lilydale,Box Hill,Union,2.012,2.62,3.66,46.7,33.1,3.14,38.5,1.04,13.6,21605,22636,medium
lilydale,Lilydale,Ringwood East,Ringwood,2.007,2.82,1.99,43.2,63.6,2.4,50.1,0.83,20.4,16046,16287,low
lilydale,Lilydale,Heatherdale,Mitcham,1.928,1.67,2.67,69.4,43.4,2.17,53.4,1.0,26.0,18378,18244,low
lilydale,Lilydale,Mitcham,Nunawading,1.672,2.43,1.67,42.9,60.2,2.05,49.0,0.76,17.2,18378,18244,low
lilydale,Lilydale,Laburnum,Box Hill,1.652,2.67,1.85,37.2,55.4,2.26,43.9,0.82,18.3,23437,25741,low
lilydale,Lilydale,Hawthorn,Burnley,1.554,1.97,1.67,49.8,55.9,1.82,51.3,0.3,6.2,18828,19277,medium
lilydale,Lilydale,Burnley,Richmond,1.535,2.67,2.69,34.5,34.3,2.68,34.4,0.02,0.2,14737,10282,high
lilydale,Lilydale,Ringwood,Heatherdale,1.356,1.85,2.55,45.4,33.3,2.2,37.0,0.69,12.1,18378,18244,medium
lilydale,Lilydale,Camberwell,Auburn,1.245,1.67,1.85,44.8,41.7,1.76,42.4,0.19,3.1,18824,19275,high
lilydale,Lilydale,Glenferrie,Hawthorn,1.234,1.67,1.67,44.4,44.4,1.67,44.4,0.0,0.0,18830,19276,high
lilydale,Lilydale,Southern Cross,Flinders Street,1.232,4.35,2.67,17.2,27.7,3.51,21.1,1.68,10.5,12648,13041,medium
lilydale,Lilydale,Union,Chatham,1.204,1.9,1.67,39.6,43.3,1.78,40.5,0.23,3.8,20253,20270,high
lilydale,Lilydale,Flagstaff,Southern Cross,1.17,1.67,1.67,42.1,42.1,1.67,42.1,0.0,0.0,12642,13041,high
lilydale,Lilydale,Parliament,Melbourne Central,1.127,1.67,1.95,40.6,36.3,1.81,37.4,0.28,4.3,12643,13039,high
lilydale,Lilydale,Canterbury,East Camberwell,1.11,1.67,1.67,40.0,40.0,1.67,40.0,0.0,0.0,20252,20270,high
lilydale,Lilydale,Burnley,East Richmond,0.965,1.67,1.67,34.7,34.7,1.67,34.7,0.0,0.0,3850,8596,high
lilydale,Lilydale,East Camberwell,Camberwell,0.87,1.67,1.67,31.2,31.3,1.67,31.3,0.0,0.1,20249,20271,high
lilydale,Lilydale,Blackburn,Laburnum,0.859,1.67,1.81,30.9,29.0,1.74,29.7,0.14,2.0,23437,25741,high
lilydale,Lilydale,Auburn,Glenferrie,0.84,1.67,1.67,30.2,30.2,1.67,30.2,0.0,0.0,18830,19275,high
lilydale,Lilydale,Richmond,Parliament,0.816,2.67,2.67,18.4,18.4,2.67,18.4,0.0,0.0,12643,13039,high
lilydale,Lilydale,Chatham,Canterbury,0.762,1.43,1.44,37.0,36.9,1.44,31.8,0.0,0.1,20252,20270,high
lilydale,Lilydale,Melbourne Central,Flagstaff,0.684,1.18,1.26,42.8,39.5,1.22,33.6,0.09,3.3,12642,13040,high
lilydale,Lilydale,East Richmond,Richmond,0.57,1.67,1.66,20.5,20.6,1.67,20.5,0.0,0.0,3851,8596,high
