line_slug,Line_Name,citybound_from_station,citybound_to_station,segment_km,citybound_avg_run_minutes,outbound_avg_run_minutes,citybound_avg_scheduled_kmh,outbound_avg_scheduled_kmh,paired_avg_run_minutes,paired_avg_scheduled_kmh,minute_gap,kmh_gap,citybound_observed_segments,outbound_observed_segments,confidence_band
lilydale,Lilydale,Union,Richmond,10.354,11.95,10.03,52.1,62.6,10.99,56.5,1.92,10.5,1098,475,medium
lilydale,Lilydale,Mooroolbark,Ringwood East,6.613,7.67,8.4,51.8,47.4,8.03,49.4,0.73,4.3,5527,5618,medium
lilydale,Lilydale,Box Hill,Camberwell,5.958,6.15,7.75,58.8,47.1,6.95,51.4,1.6,11.7,5582,6679,medium
lilydale,Lilydale,Lilydale,Mooroolbark,4.693,4.67,6.0,60.3,46.9,5.34,52.8,1.34,13.4,15391,15682,medium
lilydale,Lilydale,Union,Camberwell,3.946,4.84,4.19,49.6,58.0,4.51,52.5,0.65,8.3,247,1891,medium
lilydale,Lilydale,Mooroolbark,Croydon,3.344,3.67,4.42,54.7,46.1,4.04,49.6,0.75,8.7,10522,10669,medium
lilydale,Lilydale,Camberwell,Glenferrie,2.085,2.69,3.67,46.6,34.1,3.18,39.4,0.98,12.5,6476,7541,medium
lilydale,Lilydale,Box Hill,Union,2.012,2.62,3.66,46.7,33.1,3.14,38.5,1.04,13.6,21605,22636,medium
lilydale,Lilydale,Hawthorn,Burnley,1.554,1.97,1.67,49.8,55.9,1.82,51.3,0.3,6.2,18828,19277,medium
lilydale,Lilydale,Ringwood,Heatherdale,1.356,1.85,2.55,45.4,33.3,2.2,37.0,0.69,12.1,18378,18244,medium
lilydale,Lilydale,Southern Cross,Flinders Street,1.232,4.35,2.67,17.2,27.7,3.51,21.1,1.68,10.5,12648,13041,medium
