line_slug,Line_Name,citybound_from_station,citybound_to_station,segment_km,citybound_avg_run_minutes,outbound_avg_run_minutes,citybound_avg_scheduled_kmh,outbound_avg_scheduled_kmh,paired_avg_run_minutes,paired_avg_scheduled_kmh,minute_gap,kmh_gap,citybound_observed_segments,outbound_observed_segments,confidence_band
mernda,Mernda,South Morang,Epping,3.173,3.74,3.67,51.6,51.9,3.71,51.4,0.08,0.3,25783,26516,high
mernda,Mernda,Thomastown,Ruthven,3.141,4.67,4.67,40.4,40.4,4.67,40.4,0.0,0.0,10262,10564,high
mernda,Mernda,Middle Gorge,South Morang,2.521,1.67,2.67,90.8,56.7,2.17,69.8,1.0,34.0,25770,26273,low
mernda,Mernda,Victoria Park,Jolimont,2.518,5.32,3.73,29.2,40.7,4.52,33.4,1.59,11.5,2888,460,medium
mernda,Mernda,Hawkstowe,Middle Gorge,2.423,2.67,2.67,54.5,54.5,2.67,54.5,0.0,0.0,25772,26273,high
mernda,Mernda,Mernda,Hawkstowe,2.296,2.67,3.02,51.7,45.7,2.84,48.5,0.35,5.9,25774,26223,medium
mernda,Mernda,Epping,Lalor,2.099,2.67,2.91,47.2,44.1,2.79,45.2,0.24,3.2,24179,24684,high
mernda,Mernda,Jolimont,Flinders Street,1.673,3.27,3.74,31.2,32.7,3.51,28.6,0.47,1.5,25559,1306,high
mernda,Mernda,Lalor,Thomastown,1.631,1.67,1.67,58.7,58.7,1.67,58.7,0.0,0.0,24193,24689,high
mernda,Mernda,Keon Park,Ruthven,1.591,2.67,1.67,35.8,57.3,2.17,44.1,1.0,21.5,13932,14136,low
mernda,Mernda,Thomastown,Keon Park,1.55,1.67,2.67,55.8,34.9,2.17,42.9,1.0,20.9,13931,14134,low
mernda,Mernda,Reservoir,Regent,1.329,2.67,1.72,29.9,47.1,2.19,36.3,0.96,17.2,25733,25920,low
mernda,Mernda,Clifton Hill,Victoria Park,1.179,1.67,1.78,42.4,40.4,1.72,41.1,0.11,2.0,25514,27951,high
mernda,Mernda,Regent,Preston,1.146,1.88,1.67,38.0,41.2,1.77,38.8,0.21,3.2,25733,25921,high
mernda,Mernda,Bell,Thornbury,1.086,0.67,1.91,97.7,35.6,1.29,50.6,1.24,62.2,25733,25922,low
mernda,Mernda,Thornbury,Croxton,1.006,1.54,1.43,42.9,49.2,1.49,40.6,0.12,6.3,25733,25922,medium
mernda,Mernda,Ruthven,Reservoir,1.002,0.67,1.67,90.1,36.1,1.17,51.5,1.0,54.1,24193,24702,low
mernda,Mernda,Rushall,Clifton Hill,0.942,2.88,1.67,20.0,33.9,2.27,24.9,1.21,13.9,25732,25923,medium
mernda,Mernda,Northcote,Merri,0.925,1.67,0.67,33.3,83.2,1.17,47.6,1.0,50.0,25733,25922,low
mernda,Mernda,Preston,Bell,0.765,1.67,0.67,27.5,68.8,1.17,39.3,1.0,41.3,25733,25921,low
mernda,Mernda,West Richmond,Jolimont,0.754,1.67,0.67,27.1,67.9,1.17,38.8,1.0,40.7,22623,27492,low
mernda,Mernda,Collingwood,North Richmond,0.671,1.67,0.67,24.2,60.4,1.17,34.5,1.0,36.2,22623,27491,low
mernda,Mernda,Croxton,Northcote,0.644,1.67,1.67,23.2,23.2,1.67,23.2,0.0,0.0,25733,25922,high
mernda,Mernda,Victoria Park,Collingwood,0.589,0.67,1.67,53.0,21.2,1.17,30.3,1.0,31.8,22624,27491,low
mernda,Mernda,North Richmond,West Richmond,0.504,0.67,1.67,45.4,18.1,1.17,25.9,1.0,27.2,22623,27491,low
mernda,Mernda,Merri,Rushall,0.498,0.67,1.67,44.7,17.9,1.17,25.6,1.0,26.8,25732,25922,low
