line_slug,Line_Name,citybound_from_station,citybound_to_station,segment_km,citybound_avg_run_minutes,outbound_avg_run_minutes,citybound_avg_scheduled_kmh,outbound_avg_scheduled_kmh,paired_avg_run_minutes,paired_avg_scheduled_kmh,minute_gap,kmh_gap,citybound_observed_segments,outbound_observed_segments,confidence_band
north_east,North East,Seymour,Broadmeadows,81.916,62.17,49.12,83.8,100.1,55.65,88.3,13.05,16.2,1081,1089,low
north_east,North East,Springhurst,Benalla,62.31,39.0,38.0,95.9,98.4,38.5,97.1,1.0,2.5,16,16,medium
north_east,North East,Wangaratta,Benalla,38.738,23.0,23.02,101.1,101.0,23.01,101.0,0.02,0.1,1065,1073,high
north_east,North East,Euroa,Avenel,35.023,19.0,19.0,110.6,110.6,19.0,110.6,0.0,0.0,1081,1089,high
north_east,North East,Mooroopna,Murchison East,29.853,23.72,24.95,75.6,71.9,24.34,73.6,1.24,3.7,1136,1142,medium
north_east,North East,Avenel,Seymour,28.361,14.0,11.03,121.5,154.3,12.52,136.0,2.97,32.7,1081,1089,low
north_east,North East,Wodonga,Chiltern,27.852,17.0,17.02,98.3,98.2,17.01,98.2,0.02,0.1,1081,1089,high
north_east,North East,Nagambie,Seymour,27.542,21.25,18.32,78.1,90.3,19.79,83.5,2.93,12.1,1136,1142,low
north_east,North East,Benalla,Violet Town,26.122,14.0,15.03,112.0,104.3,14.51,108.0,1.03,7.6,1081,1089,medium
north_east,North East,Springhurst,Wangaratta,23.572,14.0,13.0,101.0,108.8,13.5,104.8,1.0,7.8,1065,1073,medium
north_east,North East,Seymour,Broadford,23.482,14.02,17.43,100.5,80.9,15.73,89.6,3.41,19.6,430,527,low
north_east,North East,Murchison East,Nagambie,21.188,17.31,16.71,73.5,76.3,17.01,74.7,0.6,2.8,1136,1142,medium
north_east,North East,Violet Town,Euroa,18.191,10.0,11.0,109.1,99.2,10.5,103.9,1.0,9.9,1081,1089,medium
north_east,North East,Broadmeadows,Southern Cross,16.8,26.73,23.83,40.1,43.3,25.28,39.9,2.89,3.2,4177,3470,low
north_east,North East,Donnybrook,Broadmeadows,16.257,17.15,15.7,57.6,63.4,16.43,59.4,1.44,5.8,1989,2144,medium
north_east,North East,Broadmeadows,North Melbourne,15.12,18.94,16.75,51.6,55.3,17.85,50.8,2.19,3.8,868,1496,low
north_east,North East,Tallarook,Broadford,15.022,9.23,9.19,97.9,98.3,9.21,97.9,0.04,0.4,4384,4440,high
north_east,North East,Wallan,Donnybrook,14.41,8.3,9.15,104.5,94.6,8.73,99.1,0.85,9.9,4814,4876,medium
north_east,North East,Chiltern,Springhurst,13.752,9.0,8.0,91.7,103.1,8.5,97.1,1.0,11.5,1081,1089,medium
north_east,North East,Broadford,Kilmore East,11.705,8.01,7.79,87.7,90.4,7.9,88.9,0.21,2.7,4814,4967,high
north_east,North East,Craigieburn,Broadmeadows,9.298,7.89,8.88,71.2,64.5,8.38,66.5,0.98,6.7,2825,2732,medium
north_east,North East,Broadmeadows,Essendon,8.793,13.5,15.0,39.1,35.4,14.25,37.0,1.5,3.8,850,1090,medium
north_east,North East,Seymour,Tallarook,8.46,6.0,10.07,84.6,50.7,8.03,63.2,4.07,33.9,4384,4440,low
north_east,North East,Kilmore East,Wandong,8.228,6.1,6.31,81.2,78.8,6.2,79.6,0.21,2.4,4814,4967,high
north_east,North East,Wandong,Wallan,7.834,6.46,6.18,73.4,76.4,6.32,74.4,0.28,2.9,693,529,high
north_east,North East,Donnybrook,Craigieburn,6.959,9.01,5.08,46.4,82.4,7.05,59.2,3.93,36.0,2825,2732,low
north_east,North East,Essendon,North Melbourne,6.327,11.0,7.75,34.7,50.2,9.38,40.5,3.25,15.5,850,872,low
north_east,North East,Albury,Wodonga,5.97,9.0,14.2,39.8,25.2,11.6,30.9,5.2,14.6,1081,1089,low
north_east,North East,Heathcote Junction,Wallan,5.898,5.0,5.0,70.8,70.8,5.0,70.8,0.0,0.0,4121,4438,high
north_east,North East,Shepparton,Mooroopna,4.86,5.7,9.82,52.4,30.2,7.76,37.6,4.13,22.1,1136,1142,low
north_east,North East,Wandong,Heathcote Junction,1.936,3.0,2.69,38.8,44.8,2.84,40.9,0.31,6.0,4121,4438,medium
north_east,North East,North Melbourne,Southern Cross,1.68,7.0,4.91,14.5,20.6,5.95,16.9,2.09,6.1,1718,2368,low
