line_slug,Line_Name,citybound_from_station,citybound_to_station,segment_km,citybound_avg_run_minutes,outbound_avg_run_minutes,citybound_avg_scheduled_kmh,outbound_avg_scheduled_kmh,paired_avg_run_minutes,paired_avg_scheduled_kmh,minute_gap,kmh_gap,citybound_observed_segments,outbound_observed_segments,confidence_band
northern,Northern,Gisborne,Footscray,58.593,42.0,40.0,83.7,87.9,41.0,85.7,2.0,4.2,225,231,medium
northern,Northern,Swan Hill,Kerang,56.561,44.0,48.11,77.1,70.6,46.05,73.7,4.11,6.5,693,692,low
northern,Northern,Gisborne,Watergardens,41.04,26.99,31.0,91.7,79.5,29.0,84.9,4.0,12.2,865,640,low
northern,Northern,Kerang,Pyramid,39.576,27.02,28.0,87.9,84.8,27.51,86.3,0.98,3.1,693,692,medium
northern,Northern,Pyramid,Dingee,38.109,30.01,29.0,76.2,78.8,29.51,77.5,1.01,2.7,693,692,medium
northern,Northern,Castlemaine,Kyneton,34.02,21.91,20.66,95.7,103.0,21.28,95.9,1.26,7.2,1355,1039,medium
northern,Northern,Sunbury,Footscray,32.656,24.04,22.18,82.5,89.1,23.11,84.8,1.87,6.6,5346,5644,medium
northern,Northern,Kangaroo Flat,Castlemaine,31.977,19.63,18.93,98.4,102.1,19.28,99.5,0.7,3.7,6520,7234,medium
northern,Northern,Clarkefield,Watergardens,27.233,18.0,22.0,90.8,74.3,20.0,81.7,4.0,16.5,225,231,low
northern,Northern,Echuca,Rochester,26.605,21.22,25.75,75.6,62.1,23.49,68.0,4.53,13.4,943,937,low
northern,Northern,Gisborne,Sunbury,25.937,15.5,14.0,101.4,111.2,14.75,105.5,1.5,9.8,20,10,medium
northern,Northern,Castlemaine,Malmsbury,23.391,12.75,13.26,111.4,106.3,13.0,107.9,0.5,5.2,4930,5818,medium
northern,Northern,Raywood,Eaglehawk,22.268,18.03,16.99,74.1,78.6,17.51,76.3,1.04,4.5,693,692,medium
northern,Northern,Dingee,Raywood,19.065,13.0,14.84,88.0,77.1,13.92,82.2,1.84,10.9,693,692,medium
northern,Northern,Watergardens,Footscray,17.553,18.77,17.11,56.6,62.3,17.94,58.7,1.66,5.7,1315,871,medium
northern,Northern,Rochester,Elmore,16.846,13.22,13.19,77.3,77.4,13.21,76.5,0.03,0.1,943,937,high
northern,Northern,Elmore,Goornong,16.792,13.4,12.88,75.3,78.7,13.14,76.7,0.52,3.5,943,937,medium
northern,Northern,Woodend,Gisborne,14.404,11.01,11.18,78.5,78.6,11.1,77.9,0.17,0.1,370,881,high
northern,Northern,Goornong,Huntly,14.027,8.0,7.99,105.2,105.3,8.0,105.3,0.01,0.1,943,937,high
northern,Northern,Kyneton,Woodend,13.423,9.11,7.99,88.8,102.8,8.55,94.2,1.12,14.0,6490,7338,medium
northern,Northern,Clarkefield,Sunbury,12.13,11.72,7.79,62.6,93.7,9.76,74.6,3.93,31.0,5844,5938,low
northern,Northern,Malmsbury,Kyneton,10.629,7.9,6.73,80.9,95.3,7.32,87.2,1.17,14.4,4695,5818,medium
northern,Northern,Woodend,Macedon,8.851,6.04,6.77,88.0,78.8,6.41,82.9,0.73,9.2,6120,6457,medium
northern,Northern,Eaglehawk,Bendigo,7.851,10.47,8.01,47.8,58.8,9.24,51.0,2.47,11.0,1382,1360,low
northern,Northern,Epsom,Bendigo,7.526,8.15,7.89,56.3,57.4,8.02,56.3,0.26,1.1,1652,1651,high
northern,Northern,Gisborne,Riddells Creek,7.321,5.66,6.05,78.2,72.7,5.85,75.0,0.39,5.5,6062,6399,medium
northern,Northern,Riddells Creek,Clarkefield,6.486,4.89,5.04,80.0,77.3,4.97,78.4,0.15,2.7,6069,6399,high
northern,Northern,Huntly,Epsom,6.099,7.03,5.01,52.1,73.1,6.02,60.8,2.01,20.9,943,937,low
northern,Northern,Footscray,Southern Cross,5.623,10.13,8.02,33.3,42.1,9.08,37.2,2.11,8.8,6886,7206,low
northern,Northern,Macedon,Gisborne,5.553,4.52,4.39,74.7,76.8,4.46,74.7,0.13,2.1,6113,6457,high
northern,Northern,Bendigo,Kangaroo Flat,4.829,3.68,6.72,85.4,43.6,5.2,55.7,3.04,41.8,6520,7234,low
