line_slug,Line_Name,citybound_from_station,citybound_to_station,segment_km,citybound_avg_run_minutes,outbound_avg_run_minutes,citybound_avg_scheduled_kmh,outbound_avg_scheduled_kmh,paired_avg_run_minutes,paired_avg_scheduled_kmh,minute_gap,kmh_gap,citybound_observed_segments,outbound_observed_segments,confidence_band
northern,Northern,Gisborne,Footscray,58.593,42.0,40.0,83.7,87.9,41.0,85.7,2.0,4.2,225,231,medium
northern,Northern,Kerang,Pyramid,39.576,27.02,28.0,87.9,84.8,27.51,86.3,0.98,3.1,693,692,medium
northern,Northern,Pyramid,Dingee,38.109,30.01,29.0,76.2,78.8,29.51,77.5,1.01,2.7,693,692,medium
northern,Northern,Castlemaine,Kyneton,34.02,21.91,20.66,95.7,103.0,21.28,95.9,1.26,7.2,1355,1039,medium
northern,Northern,Sunbury,Footscray,32.656,24.04,22.18,82.5,89.1,23.11,84.8,1.87,6.6,5346,5644,medium
northern,Northern,Kangaroo Flat,Castlemaine,31.977,19.63,18.93,98.4,102.1,19.28,99.5,0.7,3.7,6520,7234,medium
northern,Northern,Gisborne,Sunbury,25.937,15.5,14.0,101.4,111.2,14.75,105.5,1.5,9.8,20,10,medium
northern,Northern,Castlemaine,Malmsbury,23.391,12.75,13.26,111.4,106.3,13.0,107.9,0.5,5.2,4930,5818,medium
northern,Northern,Raywood,Eaglehawk,22.268,18.03,16.99,74.1,78.6,17.51,76.3,1.04,4.5,693,692,medium
northern,Northern,Dingee,Raywood,19.065,13.0,14.84,88.0,77.1,13.92,82.2,1.84,10.9,693,692,medium
northern,Northern,Watergardens,Footscray,17.553,18.77,17.11,56.6,62.3,17.94,58.7,1.66,5.7,1315,871,medium
northern,Northern,Elmore,Goornong,16.792,13.4,12.88,75.3,78.7,13.14,76.7,0.52,3.5,943,937,medium
northern,Northern,Kyneton,Woodend,13.423,9.11,7.99,88.8,102.8,8.55,94.2,1.12,14.0,6490,7338,medium
northern,Northern,Malmsbury,Kyneton,10.629,7.9,6.73,80.9,95.3,7.32,87.2,1.17,14.4,4695,5818,medium
northern,Northern,Woodend,Macedon,8.851,6.04,6.77,88.0,78.8,6.41,82.9,0.73,9.2,6120,6457,medium
northern,Northern,Gisborne,Riddells Creek,7.321,5.66,6.05,78.2,72.7,5.85,75.0,0.39,5.5,6062,6399,medium
