line_slug,Line_Name,citybound_from_station,citybound_to_station,segment_km,citybound_avg_run_minutes,outbound_avg_run_minutes,citybound_avg_scheduled_kmh,outbound_avg_scheduled_kmh,paired_avg_run_minutes,paired_avg_scheduled_kmh,minute_gap,kmh_gap,citybound_observed_segments,outbound_observed_segments,confidence_band
pakenham,Pakenham,Dandenong,Westall,8.556,8.0,8.0,64.2,64.2,8.0,64.2,0.0,0.0,1,1,high
pakenham,Pakenham,Berwick,Hallam,7.124,6.66,6.67,64.1,64.0,6.67,64.1,0.01,0.1,6557,7056,high
pakenham,Pakenham,Caulfield,South Yarra,6.373,7.37,7.51,52.1,51.1,7.44,51.4,0.13,1.0,17177,20114,high
pakenham,Pakenham,Hallam,Dandenong,6.258,5.69,4.67,66.1,80.5,5.18,72.5,1.02,14.4,20490,21949,medium
pakenham,Pakenham,Malvern,South Yarra,4.692,4.67,5.66,60.3,49.7,5.16,54.5,0.99,10.6,5833,6185,medium
pakenham,Pakenham,Pakenham,Cardinia Road,4.513,3.67,6.0,73.8,45.2,4.84,56.0,2.34,28.7,19971,21354,low
pakenham,Pakenham,Officer,Beaconsfield,4.46,3.67,3.67,73.0,73.0,3.67,73.0,0.0,0.0,19971,21354,high
pakenham,Pakenham,Springvale,Clayton,3.984,4.67,4.67,51.2,51.2,4.67,51.2,0.0,0.0,3047,2098,high
pakenham,Pakenham,Dandenong,Noble Park,3.818,5.67,5.68,40.4,40.4,5.68,40.4,0.0,0.0,3059,2108,high
pakenham,Pakenham,Berwick,Narre Warren,3.776,2.67,3.69,85.0,61.5,3.18,71.3,1.02,23.5,13932,14893,low
pakenham,Pakenham,Narre Warren,Hallam,3.348,3.67,2.67,54.8,75.3,3.17,63.4,1.0,20.5,13933,14893,low
pakenham,Pakenham,Richmond,Flinders Street,2.565,6.39,3.41,31.6,46.1,4.9,31.4,2.98,14.5,1694,26298,low
pakenham,Pakenham,Beaconsfield,Berwick,2.413,2.67,2.67,54.3,54.3,2.67,54.3,0.0,0.0,19971,21354,high
pakenham,Pakenham,Cardinia Road,Officer,2.231,2.67,2.67,50.2,50.2,2.67,50.2,0.0,0.0,19971,21354,high
pakenham,Pakenham,Clayton,Huntingdale,2.229,2.67,2.87,50.2,47.3,2.77,48.3,0.21,2.8,23984,27262,high
pakenham,Pakenham,Dandenong,Yarraman,2.155,2.67,3.39,48.5,39.1,3.03,42.7,0.73,9.4,20755,23583,medium
pakenham,Pakenham,Westall,Clayton,2.126,1.67,2.71,76.5,47.2,2.19,58.3,1.04,29.3,20946,25149,low
pakenham,Pakenham,Springvale,Westall,1.858,2.68,1.67,41.6,66.9,2.17,51.3,1.01,25.2,20746,23097,low
pakenham,Pakenham,Carnegie,Caulfield,1.747,2.9,1.67,36.9,62.9,2.28,46.0,1.23,26.0,23447,26720,low
pakenham,Pakenham,Huntingdale,Oakleigh,1.697,2.08,1.67,51.6,61.1,1.87,54.4,0.41,9.4,23982,27264,medium
pakenham,Pakenham,Noble Park,Sandown Park,1.693,1.51,2.67,74.9,38.1,2.09,48.6,1.15,36.9,23812,25692,low
pakenham,Pakenham,Caulfield,Malvern,1.681,2.67,2.67,37.8,37.8,2.67,37.8,0.0,0.0,5834,6184,high
pakenham,Pakenham,Yarraman,Noble Park,1.663,2.51,1.67,41.0,59.9,2.09,47.8,0.84,18.8,20754,23584,low
pakenham,Pakenham,South Yarra,Richmond,1.616,2.67,2.67,36.3,36.4,2.67,36.3,0.0,0.0,23016,26297,high
pakenham,Pakenham,Sandown Park,Springvale,1.187,1.67,1.67,42.7,42.7,1.67,42.7,0.0,0.0,23810,25692,high
pakenham,Pakenham,Oakleigh,Hughesdale,1.111,1.67,1.67,40.0,40.0,1.67,40.0,0.0,0.0,23449,26717,high
pakenham,Pakenham,Hughesdale,Murrumbeena,1.053,1.67,1.67,37.9,37.9,1.67,37.9,0.0,0.0,23449,26718,high
pakenham,Pakenham,Murrumbeena,Carnegie,0.889,1.67,1.67,32.0,32.0,1.67,32.0,0.0,0.0,23448,26719,high
pakenham,Pakenham,East Pakenham,Pakenham,0.0,2.67,3.03,0.0,0.0,2.85,0.0,0.37,0.0,1534,1635,high
