line_slug,Line_Name,citybound_from_station,citybound_to_station,segment_km,citybound_avg_run_minutes,outbound_avg_run_minutes,citybound_avg_scheduled_kmh,outbound_avg_scheduled_kmh,paired_avg_run_minutes,paired_avg_scheduled_kmh,minute_gap,kmh_gap,citybound_observed_segments,outbound_observed_segments,confidence_band
south_western,South Western,Geelong,Footscray,74.932,52.04,51.63,86.4,87.1,51.84,86.7,0.41,0.7,925,827,high
south_western,South Western,Lara,Deer Park,47.892,24.21,26.0,119.0,110.5,25.1,114.5,1.79,8.5,743,20,medium
south_western,South Western,Camperdown,Colac,45.001,28.08,28.58,96.2,94.5,28.33,95.3,0.5,1.7,1286,1287,high
south_western,South Western,Little River,Sunshine,43.339,27.0,26.33,96.4,99.2,26.67,97.5,0.67,2.8,80,60,medium
south_western,South Western,Sherwood Park,Terang,40.499,28.02,26.48,86.7,91.8,27.25,89.2,1.54,5.1,1286,1287,medium
south_western,South Western,Little River,Deer Park,37.964,20.0,20.26,113.9,113.7,20.13,113.2,0.26,0.2,241,332,high
south_western,South Western,Lara,Tarneit,36.392,20.0,18.05,111.7,121.1,19.02,114.8,1.95,9.4,430,222,medium
south_western,South Western,Winchelsea,Waurn Ponds,29.052,21.75,19.16,80.3,91.1,20.45,85.2,2.59,10.8,1286,1287,low
south_western,South Western,Wyndham Vale,Sunshine,28.0,18.27,18.14,92.0,93.9,18.2,92.3,0.13,1.9,881,472,high
south_western,South Western,Lara,Wyndham Vale,25.267,12.54,12.41,122.2,123.2,12.47,121.5,0.13,1.0,4247,3412,high
south_western,South Western,Tarneit,Footscray,23.506,20.03,19.51,70.4,72.3,19.77,71.3,0.52,1.9,89,176,medium
south_western,South Western,Terang,Camperdown,22.229,16.88,18.07,81.0,75.9,17.48,76.3,1.19,5.1,1286,1287,medium
south_western,South Western,Birregurra,Winchelsea,20.546,14.02,14.94,87.9,82.5,14.48,85.1,0.92,5.4,1286,1287,medium
south_western,South Western,Colac,Birregurra,19.151,14.51,15.83,79.4,74.0,15.17,75.8,1.32,5.5,1286,1287,medium
south_western,South Western,Tarneit,Sunshine,16.875,14.44,14.19,71.0,71.9,14.31,70.7,0.25,0.9,2513,2484,high
south_western,South Western,Little River,Wyndham Vale,15.339,8.27,8.08,112.0,114.2,8.17,112.6,0.19,2.2,9911,10984,high
south_western,South Western,North Geelong,Lara,12.557,7.99,8.0,95.3,94.2,7.99,94.3,0.02,1.2,695,725,high
south_western,South Western,Waurn Ponds,Geelong,12.086,14.4,15.39,51.1,48.8,14.9,48.7,0.99,2.3,913,618,medium
south_western,South Western,Tarneit,Deer Park,11.5,7.17,9.02,96.8,76.6,8.09,85.2,1.84,20.2,13230,13179,low
south_western,South Western,North Geelong,North Shore,11.208,3.02,3.41,223.1,201.1,3.22,209.1,0.39,22.0,10682,11241,low
south_western,South Western,Wyndham Vale,Tarneit,11.125,6.94,7.29,96.8,93.3,7.11,93.8,0.35,3.4,15402,15617,high
south_western,South Western,Waurn Ponds,South Geelong,10.26,14.25,16.38,43.3,39.2,15.31,40.2,2.13,4.1,503,681,low
south_western,South Western,Lara,Little River,9.928,6.02,6.08,99.0,98.4,6.05,98.5,0.06,0.7,10232,11134,high
south_western,South Western,Sunshine,Footscray,6.631,6.0,5.08,66.3,78.6,5.54,71.8,0.92,12.3,17374,17972,medium
south_western,South Western,Corio,Lara,6.41,5.04,4.44,76.4,88.2,4.74,81.1,0.6,11.7,10463,10613,medium
south_western,South Western,North Geelong,Corio,6.147,5.06,5.81,73.1,63.8,5.43,67.9,0.75,9.3,4275,3782,medium
south_western,South Western,Warrnambool,Sherwood Park,6.013,6.0,10.42,60.1,36.1,8.21,43.9,4.42,24.1,1286,1287,low
south_western,South Western,Footscray,Southern Cross,5.623,10.14,8.1,33.3,41.7,9.12,37.0,2.04,8.4,18702,19367,low
south_western,South Western,Deer Park,Sunshine,5.375,7.65,5.07,42.6,63.8,6.36,50.7,2.58,21.3,13900,14443,low
south_western,South Western,Marshall,South Geelong,5.215,4.28,5.07,74.0,61.9,4.67,67.0,0.78,12.1,8603,8354,medium
south_western,South Western,North Shore,Corio,5.061,3.03,3.49,100.4,88.8,3.26,93.1,0.46,11.6,6188,7073,medium
south_western,South Western,Waurn Ponds,Marshall,5.045,5.07,6.2,59.9,49.0,5.64,53.7,1.13,10.9,8395,8549,medium
south_western,South Western,Geelong,North Geelong,2.477,3.55,4.26,42.7,35.5,3.9,38.1,0.71,7.2,15652,15935,medium
south_western,South Western,South Geelong,Geelong,1.826,3.02,3.31,36.3,33.7,3.17,34.6,0.29,2.6,13205,13127,high
south_western,South Western,North Shore,Lara,1.349,6.04,6.13,13.4,13.3,6.09,13.3,0.09,0.1,4494,4168,high
