line_slug,Line_Name,citybound_from_station,citybound_to_station,segment_km,citybound_avg_run_minutes,outbound_avg_run_minutes,citybound_avg_scheduled_kmh,outbound_avg_scheduled_kmh,paired_avg_run_minutes,paired_avg_scheduled_kmh,minute_gap,kmh_gap,citybound_observed_segments,outbound_observed_segments,confidence_band
south_western,South Western,Geelong,Footscray,74.932,52.04,51.63,86.4,87.1,51.84,86.7,0.41,0.7,925,827,high
south_western,South Western,Camperdown,Colac,45.001,28.08,28.58,96.2,94.5,28.33,95.3,0.5,1.7,1286,1287,high
south_western,South Western,Little River,Deer Park,37.964,20.0,20.26,113.9,113.7,20.13,113.2,0.26,0.2,241,332,high
south_western,South Western,Wyndham Vale,Sunshine,28.0,18.27,18.14,92.0,93.9,18.2,92.3,0.13,1.9,881,472,high
south_western,South Western,Lara,Wyndham Vale,25.267,12.54,12.41,122.2,123.2,12.47,121.5,0.13,1.0,4247,3412,high
south_western,South Western,Tarneit,Sunshine,16.875,14.44,14.19,71.0,71.9,14.31,70.7,0.25,0.9,2513,2484,high
south_western,South Western,Little River,Wyndham Vale,15.339,8.27,8.08,112.0,114.2,8.17,112.6,0.19,2.2,9911,10984,high
south_western,South Western,North Geelong,Lara,12.557,7.99,8.0,95.3,94.2,7.99,94.3,0.02,1.2,695,725,high
south_western,South Western,Wyndham Vale,Tarneit,11.125,6.94,7.29,96.8,93.3,7.11,93.8,0.35,3.4,15402,15617,high
south_western,South Western,Lara,Little River,9.928,6.02,6.08,99.0,98.4,6.05,98.5,0.06,0.7,10232,11134,high
south_western,South Western,South Geelong,Geelong,1.826,3.02,3.31,36.3,33.7,3.17,34.6,0.29,2.6,13205,13127,high
south_western,South Western,North Shore,Lara,1.349,6.04,6.13,13.4,13.3,6.09,13.3,0.09,0.1,4494,4168,high
