line_slug,Line_Name,citybound_from_station,citybound_to_station,segment_km,citybound_avg_run_minutes,outbound_avg_run_minutes,citybound_avg_scheduled_kmh,outbound_avg_scheduled_kmh,paired_avg_run_minutes,paired_avg_scheduled_kmh,minute_gap,kmh_gap,citybound_observed_segments,outbound_observed_segments,confidence_band
sunbury,Sunbury,Diggers Rest,Watergardens,9.518,6.9,6.67,83.1,85.7,6.78,84.2,0.23,2.6,16957,17459,high
sunbury,Sunbury,Sunshine,Footscray,6.631,7.53,6.69,53.5,59.6,7.11,56.0,0.84,6.1,1673,1913,medium
sunbury,Sunbury,Sunbury,Diggers Rest,5.585,3.67,6.02,91.4,55.7,4.84,69.2,2.35,35.7,16959,17457,low
sunbury,Sunbury,Footscray,North Melbourne,3.943,4.7,3.67,50.4,64.5,4.18,56.5,1.03,14.1,23647,24664,medium
sunbury,Sunbury,Watergardens,Keilor Plains,3.676,3.67,4.48,60.1,50.1,4.07,54.2,0.81,10.1,25593,26659,medium
sunbury,Sunbury,Sunshine,Tottenham,3.151,2.67,3.67,70.9,51.5,3.17,59.7,1.0,19.4,21979,22737,low
sunbury,Sunbury,Ginifer,Albion,2.318,3.67,2.67,37.9,52.2,3.17,43.9,1.0,14.2,25359,26665,medium
sunbury,Sunbury,St Albans,Ginifer,1.867,1.67,2.72,67.2,42.0,2.19,51.1,1.05,25.2,25360,26663,low
sunbury,Sunbury,Tottenham,West Footscray,1.778,1.67,2.67,64.0,40.0,2.17,49.2,1.0,24.0,21975,22741,low
sunbury,Sunbury,Parliament,Flinders Street,1.749,3.0,2.37,35.0,46.2,2.69,39.0,0.63,11.3,13007,10384,medium
sunbury,Sunbury,North Melbourne,Southern Cross,1.68,3.38,2.8,30.5,36.1,3.09,32.6,0.59,5.7,10020,13695,medium
sunbury,Sunbury,Keilor Plains,St Albans,1.665,1.67,1.67,59.9,59.9,1.67,59.9,0.0,0.0,25591,26659,high
sunbury,Sunbury,Albion,Sunshine,1.396,1.72,1.67,49.3,50.3,1.69,49.5,0.05,0.9,25357,26666,high
sunbury,Sunbury,Southern Cross,Flinders Street,1.232,4.07,3.54,18.2,21.2,3.81,19.4,0.53,3.0,10323,13527,medium
sunbury,Sunbury,Melbourne Central,Parliament,1.127,1.67,1.67,40.6,40.6,1.67,40.6,0.0,0.0,13008,10384,high
sunbury,Sunbury,Middle Footscray,Footscray,0.983,1.92,1.67,32.1,35.4,1.79,32.9,0.25,3.3,21974,22745,high
sunbury,Sunbury,West Footscray,Middle Footscray,0.719,1.67,0.67,25.9,64.7,1.17,37.0,1.0,38.8,21974,22744,low
sunbury,Sunbury,Flagstaff,Melbourne Central,0.684,1.67,1.67,24.6,24.6,1.67,24.6,0.0,0.0,13011,10384,high
sunbury,Sunbury,North Melbourne,Flagstaff,0.51,2.51,2.67,12.6,11.5,2.59,11.8,0.16,1.1,13012,10384,high
sunbury,Sunbury,North Melbourne,Flinders Street,0.448,7.19,6.24,3.8,4.4,6.72,4.0,0.95,0.6,616,599,medium
