line_slug,Line_Name,citybound_from_station,citybound_to_station,segment_km,citybound_avg_run_minutes,outbound_avg_run_minutes,citybound_avg_scheduled_kmh,outbound_avg_scheduled_kmh,paired_avg_run_minutes,paired_avg_scheduled_kmh,minute_gap,kmh_gap,citybound_observed_segments,outbound_observed_segments,confidence_band
upfield,Upfield,Upfield,Gowrie,4.126,3.67,5.0,67.5,49.5,4.33,57.1,1.33,18.0,19257,19301,low
upfield,Upfield,Parliament,Flinders Street,1.749,3.0,2.27,35.0,48.8,2.63,39.9,0.73,13.8,11858,6972,medium
upfield,Upfield,North Melbourne,Southern Cross,1.68,3.37,2.78,30.6,36.5,3.07,32.8,0.59,5.9,7786,12688,medium
upfield,Upfield,Macaulay,North Melbourne,1.574,2.93,2.33,33.5,42.6,2.63,35.9,0.6,9.1,19567,19424,medium
upfield,Upfield,Gowrie,Fawkner,1.505,1.67,2.7,54.2,33.5,2.18,41.4,1.03,20.7,19255,19302,low
upfield,Upfield,Royal Park,Flemington Bridge,1.399,1.67,2.67,50.4,31.5,2.17,38.7,1.0,18.9,19570,19423,low
upfield,Upfield,Coburg,Moreland,1.332,1.67,2.67,48.0,30.0,2.17,36.9,1.0,18.0,19579,19418,low
upfield,Upfield,Merlynston,Batman,1.267,0.67,1.67,114.0,45.6,1.17,65.2,1.0,68.4,19253,19302,low
upfield,Upfield,Southern Cross,Flinders Street,1.232,4.0,3.47,18.5,21.6,3.74,19.8,0.53,3.2,7662,12562,medium
upfield,Upfield,Melbourne Central,Parliament,1.127,1.67,1.67,40.6,40.6,1.67,40.6,0.0,0.0,11859,6972,high
upfield,Upfield,Batman,Coburg,1.109,2.67,0.68,24.9,99.0,1.68,39.7,1.99,74.1,19630,19688,low
upfield,Upfield,Jewell,Royal Park,1.041,1.67,1.67,37.5,37.5,1.67,37.5,0.0,0.0,19573,19422,high
upfield,Upfield,Brunswick,Jewell,0.81,1.67,0.67,29.2,72.9,1.17,41.7,1.0,43.7,19574,19418,low
upfield,Upfield,Flemington Bridge,Macaulay,0.808,0.67,0.67,72.7,72.7,0.67,72.7,0.0,0.0,19569,19424,high
upfield,Upfield,Moreland,Anstey,0.741,0.67,0.67,66.7,66.7,0.67,66.7,0.0,0.0,19577,19418,high
upfield,Upfield,Fawkner,Merlynston,0.733,1.67,1.67,26.4,26.4,1.67,26.4,0.0,0.0,19255,19302,high
upfield,Upfield,Anstey,Brunswick,0.731,1.67,1.67,26.3,26.3,1.67,26.3,0.0,0.0,19574,19418,high
upfield,Upfield,Flagstaff,Melbourne Central,0.684,1.67,1.67,24.6,24.6,1.67,24.6,0.0,0.0,11859,6972,high
upfield,Upfield,North Melbourne,Flagstaff,0.51,2.47,2.67,12.8,11.5,2.57,11.9,0.19,1.3,11861,6970,high
upfield,Upfield,North Melbourne,Flinders Street,0.448,7.11,6.12,3.8,4.4,6.62,4.1,0.99,0.6,696,637,medium
