line_slug,Line_Name,citybound_from_station,citybound_to_station,segment_km,citybound_avg_run_minutes,outbound_avg_run_minutes,citybound_avg_scheduled_kmh,outbound_avg_scheduled_kmh,paired_avg_run_minutes,paired_avg_scheduled_kmh,minute_gap,kmh_gap,citybound_observed_segments,outbound_observed_segments,confidence_band
werribee,Werribee,Werribee,Southern Cross,31.697,32.17,40.0,59.5,47.5,36.08,52.7,7.83,12.0,6,1,low
werribee,Werribee,Laverton,Newport,10.45,8.83,8.2,71.6,77.8,8.51,73.7,0.63,6.2,13801,14672,medium
werribee,Werribee,Seaholme,Newport,5.572,8.48,6.67,39.5,50.1,7.58,44.1,1.82,10.6,19843,20377,medium
werribee,Werribee,Newport,Footscray,4.932,5.74,6.26,51.6,47.6,6.0,49.3,0.51,4.1,13380,13613,medium
werribee,Werribee,Hoppers Crossing,Williams Landing,4.465,2.67,3.67,100.5,73.1,3.17,84.6,1.0,27.4,23473,24354,low
werribee,Werribee,Werribee,Hoppers Crossing,4.032,2.67,5.0,90.7,48.4,3.83,63.1,2.33,42.3,23475,24352,low
werribee,Werribee,Footscray,North Melbourne,3.943,4.81,4.67,49.4,50.7,4.74,49.9,0.14,1.3,13380,13615,high
werribee,Werribee,Laverton,Westona,2.472,3.67,3.83,40.5,38.8,3.75,39.6,0.17,1.7,19849,20374,high
werribee,Werribee,Footscray,South Kensington,2.131,2.67,2.67,47.9,47.9,2.67,47.9,0.0,0.0,19185,20317,high
werribee,Werribee,South Kensington,North Melbourne,1.812,2.67,2.54,40.7,43.9,2.61,41.7,0.14,3.2,19184,20319,high
werribee,Werribee,North Melbourne,Southern Cross,1.68,2.95,2.67,34.9,37.8,2.81,35.9,0.28,2.9,32318,33765,high
werribee,Werribee,Spotswood,Yarraville,1.678,1.66,1.67,60.8,60.4,1.66,60.5,0.0,0.4,19189,20313,high
werribee,Werribee,Westona,Altona,1.385,1.67,2.84,49.9,29.4,2.25,36.9,1.17,20.5,19847,20374,low
werribee,Werribee,Newport,Spotswood,1.335,1.67,2.67,48.1,30.0,2.17,37.0,1.0,18.0,19190,20313,low
werribee,Werribee,Southern Cross,Flinders Street,1.232,4.02,3.38,18.4,22.3,3.7,20.0,0.63,3.9,32320,33770,medium
werribee,Werribee,Aircraft,Laverton,1.221,1.67,0.67,44.0,109.9,1.17,62.8,1.0,65.9,23476,24362,low
werribee,Werribee,Altona,Seaholme,1.021,1.67,1.67,36.8,36.8,1.67,36.8,0.0,0.0,19846,20375,high
werribee,Werribee,Seddon,Footscray,0.995,1.67,0.77,35.8,83.9,1.22,49.0,0.9,48.1,19187,20315,low
werribee,Werribee,Williams Landing,Aircraft,0.974,2.67,2.32,21.9,26.4,2.49,23.4,0.34,4.5,23474,24355,high
werribee,Werribee,Yarraville,Seddon,0.924,1.67,1.67,33.3,33.3,1.67,33.3,0.0,0.0,19187,20314,high
werribee,Werribee,North Melbourne,Flinders Street,0.448,7.0,5.67,3.8,4.7,6.33,4.2,1.33,0.9,319,289,medium
