line_slug,Line_Name,citybound_from_station,citybound_to_station,segment_km,citybound_avg_run_minutes,outbound_avg_run_minutes,citybound_avg_scheduled_kmh,outbound_avg_scheduled_kmh,paired_avg_run_minutes,paired_avg_scheduled_kmh,minute_gap,kmh_gap,citybound_observed_segments,outbound_observed_segments,confidence_band
western,Western,Ararat,Beaufort,46.011,26.05,28.05,106.0,98.4,27.05,102.1,2.0,7.6,1454,1471,medium
western,Western,Beaufort,Wendouree,41.469,24.04,23.03,103.5,108.1,23.54,105.7,1.0,4.5,1454,1471,medium
western,Western,Ballarat,Ballan,34.353,18.68,22.14,110.9,94.5,20.41,101.0,3.46,16.5,8745,8873,low
western,Western,Ballan,Bacchus Marsh,28.548,18.67,18.73,92.6,91.9,18.7,91.6,0.06,0.7,8745,8873,high
western,Western,Melton,Sunshine,24.882,16.05,14.04,93.1,106.4,15.05,99.2,2.01,13.3,470,238,low
western,Western,Bacchus Marsh,Rockbank,21.303,13.17,12.06,97.2,106.2,12.61,101.3,1.11,9.0,1357,1449,medium
western,Western,Creswick,Ballarat,18.736,19.01,15.0,59.1,74.9,17.01,66.1,4.01,15.8,659,642,low
western,Western,Clunes,Creswick,18.064,13.04,13.01,83.2,83.3,13.02,83.2,0.03,0.1,659,642,high
western,Western,Talbot,Clunes,17.239,13.02,13.0,79.5,79.5,13.01,79.5,0.02,0.1,659,642,high
western,Western,Melton,Caroline Springs,16.032,10.0,9.0,97.2,106.9,9.5,101.3,1.0,9.7,20,20,medium
western,Western,Maryborough,Talbot,14.375,10.03,15.01,86.1,57.5,12.52,68.9,4.98,28.6,659,642,low
western,Western,Bacchus Marsh,Melton,13.803,8.74,8.66,95.7,100.3,8.7,95.2,0.09,4.5,8913,8753,high
western,Western,Cobblebank,Caroline Springs,13.036,8.67,9.31,90.5,85.0,8.99,87.0,0.64,5.6,1371,1409,medium
western,Western,Rockbank,Deer Park,12.007,8.68,8.02,83.7,89.9,8.35,86.3,0.66,6.2,1385,1417,medium
western,Western,Rockbank,Caroline Springs,8.532,5.8,5.07,88.8,101.4,5.44,94.1,0.73,12.6,11393,10935,medium
western,Western,Melton,Rockbank,7.5,5.5,6.0,83.6,75.0,5.75,78.3,0.5,8.6,28,28,medium
western,Western,Sunshine,Footscray,6.631,6.0,5.17,66.4,77.7,5.58,71.3,0.83,11.3,14196,13787,medium
western,Western,Caroline Springs,Ardeer,6.176,6.16,6.0,60.9,62.3,6.08,60.9,0.16,1.4,1355,1636,high
western,Western,Footscray,Southern Cross,5.623,10.14,8.07,33.3,41.9,9.1,37.1,2.07,8.5,14196,13787,low
western,Western,Deer Park,Sunshine,5.375,7.17,5.0,45.4,64.5,6.08,53.0,2.17,19.1,1385,1649,low
western,Western,Cobblebank,Rockbank,4.504,3.26,4.02,84.1,67.3,3.64,74.2,0.76,16.9,11393,10875,low
western,Western,Wendouree,Ballarat,4.486,4.13,6.73,65.7,40.6,5.43,49.6,2.6,25.1,8502,8858,low
western,Western,Caroline Springs,Deer Park,3.475,3.9,4.03,54.1,51.8,3.97,52.6,0.13,2.3,10986,10297,high
western,Western,Melton,Cobblebank,2.996,3.82,4.69,47.8,39.7,4.26,42.2,0.87,8.1,12764,12284,medium
western,Western,Deer Park,Ardeer,2.701,3.02,3.0,53.7,54.0,3.01,53.8,0.02,0.3,10986,10297,high
western,Western,Ardeer,Sunshine,2.674,5.22,4.02,31.1,39.9,4.62,34.7,1.2,8.8,12341,11933,medium
