line_slug,Line_Name,citybound_from_station,citybound_to_station,segment_km,citybound_avg_run_minutes,outbound_avg_run_minutes,citybound_avg_scheduled_kmh,outbound_avg_scheduled_kmh,paired_avg_run_minutes,paired_avg_scheduled_kmh,minute_gap,kmh_gap,citybound_observed_segments,outbound_observed_segments,confidence_band
western,Western,Ararat,Beaufort,46.011,26.05,28.05,106.0,98.4,27.05,102.1,2.0,7.6,1454,1471,medium
western,Western,Beaufort,Wendouree,41.469,24.04,23.03,103.5,108.1,23.54,105.7,1.0,4.5,1454,1471,medium
western,Western,Bacchus Marsh,Rockbank,21.303,13.17,12.06,97.2,106.2,12.61,101.3,1.11,9.0,1357,1449,medium
western,Western,Melton,Caroline Springs,16.032,10.0,9.0,97.2,106.9,9.5,101.3,1.0,9.7,20,20,medium
western,Western,Cobblebank,Caroline Springs,13.036,8.67,9.31,90.5,85.0,8.99,87.0,0.64,5.6,1371,1409,medium
western,Western,Rockbank,Deer Park,12.007,8.68,8.02,83.7,89.9,8.35,86.3,0.66,6.2,1385,1417,medium
western,Western,Rockbank,Caroline Springs,8.532,5.8,5.07,88.8,101.4,5.44,94.1,0.73,12.6,11393,10935,medium
western,Western,Melton,Rockbank,7.5,5.5,6.0,83.6,75.0,5.75,78.3,0.5,8.6,28,28,medium
western,Western,Sunshine,Footscray,6.631,6.0,5.17,66.4,77.7,5.58,71.3,0.83,11.3,14196,13787,medium
western,Western,Melton,Cobblebank,2.996,3.82,4.69,47.8,39.7,4.26,42.2,0.87,8.1,12764,12284,medium
western,Western,Ardeer,Sunshine,2.674,5.22,4.02,31.1,39.9,4.62,34.7,1.2,8.8,12341,11933,medium
