Business_Date,Day_of_Week,Day_Type,Mode,Train_Number,Line_Name,Group,Direction,Origin_Station,Destination_Station,Station_Name,Station_Latitude,Station_Longitude,Station_Chainage,Stop_Sequence_Number,Arrival_Time_Scheduled,Departure_Time_Scheduled,Passenger_Boardings,Passenger_Alightings,Passenger_Arrival_Load,Passenger_Departure_Load
2023-07-10,Monday,Normal Weekday,Metro,6200,Werribee,Northern & Cross-City,U,Laverton,Flinders Street,Laverton,-37.86369404,144.7726167,21005,1,05:37:00,05:37:00,10,0,0,10
2023-07-10,Monday,Normal Weekday,Metro,6200,Werribee,Northern & Cross-City,U,Laverton,Flinders Street,Westona,-37.86516348,144.8134936,18533,2,05:40:40,05:41:00,0,0,10,10
2023-07-10,Monday,Normal Weekday,Metro,6200,Werribee,Northern & Cross-City,U,Laverton,Flinders Street,Altona,-37.8671476,144.8296447,17148,3,05:42:40,05:43:00,0,0,10,10
2023-07-10,Monday,Normal Weekday,Metro,6200,Werribee,Northern & Cross-City,U,Laverton,Flinders Street,Seaholme,-37.86784231,144.8409577,16127,4,05:44:40,05:45:00,0,0,10,10
2023-07-10,Monday,Normal Weekday,Metro,6200,Werribee,Northern & Cross-City,U,Laverton,Flinders Street,Newport,-37.84271757,144.8835999,10555,5,05:52:40,05:53:00,0,0,10,10
2023-07-10,Monday,Normal Weekday,Metro,6200,Werribee,Northern & Cross-City,U,Laverton,Flinders Street,Spotswood,-37.83063888,144.8859335,9220,6,05:54:40,05:55:00,0,0,10,20
2023-07-10,Monday,Normal Weekday,Metro,6200,Werribee,Northern & Cross-City,U,Laverton,Flinders Street,Yarraville,-37.81585044,144.8899337,7542,7,05:56:40,05:57:00,0,0,20,20
2023-07-10,Monday,Normal Weekday,Metro,6200,Werribee,Northern & Cross-City,U,Laverton,Flinders Street,Seddon,-37.80900514,144.8956716,6618,8,05:58:40,05:59:00,0,0,20,20
2023-07-10,Monday,Normal Weekday,Metro,6200,Werribee,Northern & Cross-City,U,Laverton,Flinders Street,Footscray,-37.80108298,144.9031992,5623,9,06:00:40,06:01:00,20,0,20,40
2023-07-10,Monday,Normal Weekday,Metro,6200,Werribee,Northern & Cross-City,U,Laverton,Flinders Street,South Kensington,-37.79953087,144.925469,3492,10,06:03:40,06:04:00,0,0,40,40
2023-07-10,Monday,Normal Weekday,Metro,6200,Werribee,Northern & Cross-City,U,Laverton,Flinders Street,North Melbourne,-37.80630984,144.9415102,1680,11,06:06:40,06:07:00,0,0,40,40
2023-07-10,Monday,Normal Weekday,Metro,6200,Werribee,Northern & Cross-City,U,Laverton,Flinders Street,Southern Cross,-37.81793643,144.9514112,0,12,06:09:40,06:10:00,0,20,40,20
2023-07-10,Monday,Normal Weekday,Metro,6200,Werribee,Northern & Cross-City,U,Laverton,Flinders Street,Flinders Street,-37.81830513,144.9669643,1232,13,06:14:00,06:14:00,0,20,20,0
2023-07-10,Monday,Normal Weekday,Metro,6201,Werribee,Northern & Cross-City,D,Flinders Street,Laverton,Flinders Street,-37.81830513,144.9669643,1232,1,04:49:00,04:49:00,0,0,0,0
2023-07-10,Monday,Normal Weekday,Metro,6201,Werribee,Northern & Cross-City,D,Flinders Street,Laverton,Southern Cross,-37.81793643,144.9514112,0,2,04:51:40,04:52:00,0,0,0,0
2023-07-10,Monday,Normal Weekday,Metro,6201,Werribee,Northern & Cross-City,D,Flinders Street,Laverton,North Melbourne,-37.80630984,144.9415102,1680,3,04:54:40,04:55:00,0,0,0,10
