Station_Name,stop_rows,train_count,total_boardings,total_alightings,avg_arrival_load,avg_departure_load,max_departure_load,min_stop_sequence,max_stop_sequence
Southern Cross,229,229,9790,9350,105.63318777292577,107.33624454148472,640,2,16
Flinders Street,229,229,9050,9260,40.43668122270742,39.519650655021834,340,1,17
Footscray,229,229,4260,3930,137.24890829694323,139.0829694323144,810,4,13
Williams Landing,142,142,3780,3850,110.21126760563381,109.71830985915493,590,3,15
Werribee,144,144,3440,3810,26.458333333333332,23.88888888888889,220,1,17
North Melbourne,229,229,3010,3130,139.7816593886463,138.90829694323145,700,3,15
Laverton,228,228,2800,2940,96.84210526315789,96.66666666666667,710,1,13
Hoppers Crossing,142,142,2700,2940,69.29577464788733,67.25352112676056,370,2,16
Newport,229,229,2580,2190,115.85152838427948,117.77292576419214,810,5,10
Yarraville,116,116,880,880,53.44827586206897,53.793103448275865,350,7,11
Westona,114,114,610,640,22.719298245614034,22.017543859649123,140,2,12
Aircraft,142,142,530,510,137.81690140845072,137.88732394366198,620,4,14
Altona,114,114,500,490,28.07017543859649,28.157894736842106,140,3,11
Seddon,116,116,330,340,62.06896551724138,62.327586206896555,390,6,12
South Kensington,116,116,290,260,81.46551724137932,80.60344827586206,440,4,14
Spotswood,116,116,250,250,45.3448275862069,44.827586206896555,230,6,10
Seaholme,114,114,160,120,32.10526315789474,32.36842105263158,150,4,10
