Train_Number,Direction,first_station,last_station,stop_count,total_boardings,total_alightings,peak_departure_load,first_departure,last_arrival
6424,U,Werribee,Flinders Street,10,930,940,810,07:49:00,08:28:00
6418,U,Werribee,Flinders Street,10,850,830,750,07:19:00,07:59:00
6420,U,Werribee,Flinders Street,10,820,820,700,07:29:00,08:09:00
6497,D,Flinders Street,Werribee,10,780,780,700,17:23:00,18:04:00
6422,U,Werribee,Flinders Street,10,780,780,670,07:39:00,08:18:00
6495,D,Flinders Street,Werribee,10,780,770,670,17:13:00,17:54:00
6428,U,Werribee,Flinders Street,10,750,740,630,08:09:00,08:50:00
6426,U,Werribee,Flinders Street,10,710,710,610,07:59:00,08:40:00
6501,D,Flinders Street,Werribee,10,680,670,610,17:43:00,18:24:00
6477,D,Flinders Street,Werribee,10,700,690,600,15:44:00,16:23:00
6499,D,Flinders Street,Werribee,10,690,700,580,17:33:00,18:14:00
6493,D,Flinders Street,Werribee,10,640,640,560,17:03:00,17:44:00
6416,U,Werribee,Flinders Street,10,590,610,550,07:09:00,07:49:00
6483,D,Flinders Street,Werribee,10,620,640,500,16:13:00,16:54:00
6489,D,Flinders Street,Werribee,10,590,590,490,16:43:00,17:24:00
6491,D,Flinders Street,Werribee,10,510,500,470,16:53:00,17:34:00
6414,U,Werribee,Flinders Street,10,530,520,450,06:59:00,07:39:00
6214,U,Laverton,Flinders Street,13,570,580,440,07:56:00,08:35:00
6475,D,Flinders Street,Werribee,10,550,550,400,15:24:00,16:04:00
6485,D,Flinders Street,Werribee,10,520,520,400,16:23:00,17:04:00
6430,U,Werribee,Flinders Street,10,470,480,390,08:19:00,08:58:00
6212,U,Laverton,Flinders Street,13,490,490,380,07:36:00,08:15:00
6216,U,Laverton,Flinders Street,13,500,520,380,08:16:00,08:55:00
6487,D,Flinders Street,Werribee,10,450,450,380,16:33:00,17:14:00
6481,D,Flinders Street,Werribee,10,470,480,370,16:03:00,16:44:00
6210,U,Laverton,Flinders Street,13,390,390,350,07:16:00,07:55:00
6432,U,Werribee,Flinders Street,10,420,430,350,08:29:00,09:10:00
6505,D,Flinders Street,Werribee,10,420,440,350,18:03:00,18:44:00
6503,D,Flinders Street,Werribee,10,380,390,340,17:53:00,18:34:00
6507,D,Flinders Street,Werribee,10,390,390,340,18:13:00,18:54:00
6473,D,Flinders Street,Werribee,10,490,500,330,15:04:00,15:44:00
6277,D,Flinders Street,Laverton,13,380,400,320,17:27:00,18:04:00
6412,U,Werribee,Flinders Street,10,390,370,320,06:49:00,07:29:00
6509,D,Flinders Street,Werribee,10,360,350,310,18:23:00,19:04:00
6275,D,Flinders Street,Laverton,13,370,390,300,17:07:00,17:44:00
6406,U,Werribee,Flinders Street,10,350,340,300,06:19:00,07:00:00
6408,U,Werribee,Flinders Street,10,310,300,270,06:29:00,07:08:00
6410,U,Werribee,Flinders Street,10,310,310,270,06:39:00,07:18:00
6440,U,Werribee,Flinders Street,10,300,310,270,09:09:00,09:49:00
6434,U,Werribee,Flinders Street,10,330,340,260,08:39:00,09:18:00
6482,U,Werribee,Flinders Street,10,390,390,250,15:39:00,16:19:00
6543,D,Flinders Street,Werribee,17,260,280,250,21:08:00,21:56:00
6404,U,Werribee,Flinders Street,10,290,280,240,05:59:00,06:40:00
6471,D,Flinders Street,Werribee,10,310,310,240,14:44:00,15:24:00
6479,D,Flinders Street,Werribee,10,280,290,240,15:53:00,16:32:00
6279,D,Flinders Street,Laverton,13,250,260,230,17:47:00,18:24:00
6438,U,Werribee,Flinders Street,10,310,310,230,08:59:00,09:39:00
6273,D,Flinders Street,Laverton,13,250,250,220,16:47:00,17:24:00
6469,D,Flinders Street,Werribee,10,280,290,220,14:24:00,15:04:00
6511,D,Flinders Street,Werribee,10,260,270,220,18:33:00,19:14:00
6436,U,Werribee,Flinders Street,10,260,260,210,08:48:00,09:27:00
6480,U,Werribee,Flinders Street,10,370,380,210,15:19:00,15:58:00
6218,U,Laverton,Flinders Street,13,280,260,200,08:36:00,09:15:00
6208,U,Laverton,Flinders Street,13,230,230,190,06:56:00,07:35:00
6448,U,Werribee,Flinders Street,10,270,260,190,09:59:00,10:39:00
6513,D,Flinders Street,Werribee,10,210,200,190,18:44:00,19:24:00
6545,D,Flinders Street,Werribee,17,230,240,190,21:28:00,22:16:00
6454,U,Werribee,Flinders Street,10,230,220,170,10:59:00,11:38:00
6465,D,Flinders Street,Werribee,10,240,220,170,13:44:00,14:24:00
6533,D,Flinders Street,Werribee,17,200,210,170,19:28:00,20:16:00
6281,D,Flinders Street,Laverton,13,200,210,160,18:07:00,18:44:00
6402,U,Werribee,Flinders Street,10,180,190,160,05:39:00,06:18:00
6547,D,Flinders Street,Werribee,17,200,220,160,21:48:00,22:36:00
6267,D,Flinders Street,Laverton,13,210,230,150,15:46:00,16:23:00
6456,U,Werribee,Flinders Street,10,190,200,150,11:19:00,11:58:00
6467,D,Flinders Street,Werribee,10,210,230,150,14:04:00,14:44:00
6549,D,Flinders Street,Werribee,17,170,150,150,22:08:00,22:56:00
6206,U,Laverton,Flinders Street,13,150,150,140,06:36:00,07:15:00
6220,U,Laverton,Flinders Street,13,200,200,140,08:56:00,09:35:00
6262,U,Laverton,Flinders Street,13,210,180,140,15:55:00,16:35:00
6265,D,Flinders Street,Laverton,13,170,180,140,15:26:00,16:03:00
6269,D,Flinders Street,Laverton,13,190,210,140,16:06:00,16:44:00
6271,D,Flinders Street,Laverton,13,200,190,140,16:26:00,17:04:00
6429,D,Flinders Street,Werribee,10,230,240,140,08:22:00,09:04:00
6452,U,Werribee,Flinders Street,10,180,180,140,10:39:00,11:18:00
6492,U,Werribee,Flinders Street,10,230,230,140,16:59:00,17:39:00
6539,D,Flinders Street,Werribee,17,160,170,140,20:28:00,21:16:00
6541,D,Flinders Street,Werribee,17,170,160,140,20:48:00,21:36:00
6415,D,Flinders Street,Werribee,10,190,190,130,07:24:00,08:04:00
6419,D,Flinders Street,Werribee,10,200,210,130,07:36:00,08:16:00
6421,D,Flinders Street,Werribee,10,200,180,130,07:51:00,08:31:00
